iter	Logloss
0	0.6821022025
1	0.6720906252
2	0.6634254379
3	0.6547304105
4	0.6459540622
5	0.6380556122
6	0.6323296295
7	0.6253611318
8	0.6195454309
9	0.6133670792
10	0.6080893407
11	0.6025995627
12	0.5983663987
13	0.5931762463
14	0.5897988307
15	0.5850392642
16	0.5815116612
17	0.5778431199
18	0.5702435387
19	0.5636875736
20	0.5575028528
21	0.552064855
22	0.5469877707
23	0.5422171391
24	0.5374729643
25	0.5335457853
26	0.529800243
27	0.525909968
28	0.5246388442
29	0.5232342144
30	0.5198954013
31	0.5173100308
32	0.5164619732
33	0.5135852331
34	0.5125249724
35	0.5100141477
36	0.5074366636
37	0.5049858742
38	0.5026873672
39	0.5007649326
40	0.4988533245
41	0.4964287277
42	0.4944592514
43	0.4925869336
44	0.4911375211
45	0.4893881577
46	0.4881256583
47	0.4868539009
48	0.4854405061
49	0.4841619022
50	0.4828949951
51	0.4816409937
52	0.4803148448
53	0.4790866327
54	0.4778056655
55	0.4764890898
56	0.4763038546
57	0.4753406382
58	0.474395731
59	0.4735316344
60	0.4726157804
61	0.4718916006
62	0.4710775996
63	0.4704052693
64	0.4695808562
65	0.4687970442
66	0.4680509355
67	0.467409769
68	0.466823065
69	0.466219155
70	0.4655464398
71	0.4649001473
72	0.4644030023
73	0.4638201564
74	0.4633888611
75	0.4627786924
76	0.4622763568
77	0.4619222687
78	0.4615225211
79	0.4612332406
80	0.4608949809
81	0.460539315
82	0.4601044176
83	0.4599623413
84	0.4595709327
85	0.4592744064
86	0.4589609617
87	0.4585647916
88	0.4583198706
89	0.4580178945
90	0.4578767292
91	0.4576717822
92	0.4573868817
93	0.4571541612
94	0.4569425234
95	0.456746853
96	0.4565024593
97	0.4562334803
98	0.4560456132
99	0.4558590782
100	0.4556571313
101	0.4554503874
102	0.4552906723
103	0.4551159273
104	0.4549532886
105	0.4547763977
106	0.4545314825
107	0.4544147351
108	0.4542066356
109	0.4540143498
110	0.4538887143
111	0.4537203936
112	0.4535154225
113	0.4533542681
114	0.4532019723
115	0.453078778
116	0.4529700559
117	0.4528525741
118	0.4526630019
119	0.4525865995
120	0.4524890358
121	0.4523941385
122	0.4522685873
123	0.4521671545
124	0.4520364617
125	0.4519348303
126	0.4518546786
127	0.4517314892
128	0.4516482815
129	0.451564175
130	0.4514016688
131	0.4513242501
132	0.4511997578
133	0.4510215965
134	0.4509099194
135	0.4508207299
136	0.4507076336
137	0.4505457724
138	0.4504796297
139	0.4503368199
140	0.450264924
141	0.450168631
142	0.4501253883
143	0.4500170373
144	0.4498737066
145	0.4497497125
146	0.4496384174
147	0.4496005914
148	0.4494721827
149	0.4494225304
150	0.4493554341
151	0.449287892
152	0.449184249
153	0.4491221903
154	0.4490504328
155	0.4490068716
156	0.4489424467
157	0.4489043964
158	0.4488727888
159	0.448814892
160	0.4487458471
161	0.4486516893
162	0.4485953652
163	0.4485234576
164	0.4484725844
165	0.4484083111
166	0.4483787113
167	0.4483335596
168	0.4483144816
169	0.4482652348
170	0.4481874609
171	0.4480642881
172	0.4479782167
173	0.4479381998
174	0.4479193894
175	0.4478832187
176	0.44782939
177	0.447771704
178	0.4476619568
179	0.4476078584
180	0.4475482561
181	0.4474231793
182	0.4473644471
183	0.4473473277
184	0.4473281495
185	0.4472471504
186	0.4472036226
187	0.4471593759
188	0.4471036695
189	0.4469752737
190	0.4469318493
191	0.4468435878
192	0.4468169687
